F,P,TO,D,T/S,RP,Roughness
10,8,5,0.2,1,452,21
20,8,5,0.2,1,452,30
30,8,5,0.2,1,452,32
40,8,5,0.2,1,452,88
60,8,5,0.2,1,452,127
80,8,5,0.2,1,452,144
20,4,5,0.2,1,452,88
20,5,5,0.2,1,452,85
20,6,5,0.2,1,452,83
20,7,5,0.2,1,452,39
20,8,5,0.2,1,452,39
20,9,5,0.2,1,452,37
20,10,5,0.2,1,452,33
20,8,2.5,0.2,1,452,27
20,8,5,0.2,1,452,40
20,8,7.5,0.2,1,452,32
20,8,10,0.2,1,452,72
20,8,12.5,0.2,1,452,26
20,8,15,0.2,1,452,36
20,8,5,0.1,1,452,31
20,8,5,0.2,1,452,43
20,8,5,0.3,1,452,47
20,8,5,0.4,1,452,85
20,8,5,0.5,1,452,98
20,8,5,0.6,1,452,138
20,8,5,0.7,1,452,99
20,8,5,0.8,1,452,131
10,5,2.5,0.2,1,452,44
15,5,5,0.4,1,452,146
20,5,7.5,0.6,1,452,183
25,5,10,0.8,1,452,229
10,6,5,0.6,1,452,76
15,6,2.5,0.8,1,452,151
20,6,10,0.2,1,452,65
25,6,7.5,0.4,1,452,165
10,7,7.5,0.8,1,452,121
15,7,10,0.6,1,452,111
20,7,2.5,0.4,1,452,86
25,7,5,0.2,1,452,66
10,8,10,0.4,1,452,61
15,8,7.5,0.2,1,452,30
20,8,5,0.8,1,452,133
25,8,2.5,0.6,1,452,144
